facebook.com: 157.240.28.35
yahoo.com: 98.138.219.231
youtube.com: 172.217.11.238
baidu.com: 220.181.38.148
blogspot.com: 172.217.1.201
live.com: 204.79.197.212
msn.com: 13.82.28.61
microsoft.com: 40.76.4.15
bing.com: 204.79.197.200
wikipedia.org: 208.80.153.224
taobao.com: 140.205.220.96
qq.com: 58.247.214.47
ask.com: 151.101.70.114
163.com: 123.58.180.7
twitter.com: 104.244.42.65
adobe.com: 192.147.130.204
mozilla.com: 63.245.208.194
youku.com: 106.11.47.20
sdjjdsaf.com: 
andysayler.com: 138.197.228.157
wmfo.org: 23.92.21.128
wordpress.com: 192.0.78.17
amazon.com: 205.251.242.103
sina.com.cn: 123.126.157.222
apple.com: 17.172.224.47
tudou.com: 106.11.186.1
windows.com: 40.112.72.205
ebay.com: 66.135.195.175
yahoo.co.jp: 182.22.59.229
hao123.com: 39.156.68.154
sohu.com: 211.159.191.18
soso.com: 119.28.109.132
fc2.com: 34.210.113.146
paypal.com: 64.4.250.36
pps.tv: 116.211.199.235
ku6.com: 117.50.1.222
tmall.com: 140.205.94.193
about.com: 151.101.2.114
orkut.com.br: 132.148.40.250
56.com: 183.6.206.243
sogou.com: 118.191.216.57
rakuten.co.jp: 133.237.16.234
xunlei.com: 121.41.61.107
